clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
i6_i44_GPR149_Vip_Mybpc1,PLCE1_AS1,0.025230789612399534,3.2459264,1.0
i6_i44_GPR149_Vip_Mybpc1,FLT1,0.025097301183540893,2.4534452,1.0
i6_i44_GPR149_Vip_Mybpc1,CXCL12,0.017729097042094317,3.4594316,1.0
i6_i44_GPR149_Vip_Mybpc1,SLC22A3,0.021373193892650504,3.7046955,0.9910024086634318
i6_i44_GPR149_Vip_Mybpc1,GPR149,0.03957243153586846,7.475642,0.9596717198689778
i6_i44_GPR149_Vip_Mybpc1,SHISA8,0.01453336889482712,2.160964,0.9447011868158977
i6_i44_GPR149_Vip_Mybpc1,IGFBP5,0.017930828839507168,6.4560704,0.9313942233721416
i6_i44_GPR149_Vip_Mybpc1,TAC3,0.0167696889299859,4.038408,0.9168251752853394
i6_i44_GPR149_Vip_Mybpc1,NPR3,0.014915122003853486,5.5390754,0.9084919532140096
i6_i44_GPR149_Vip_Mybpc1,PLCE1,0.03890610918659828,8.526714,0.8030659119288127
i7_i31_CLMP_Ndnf_Cxcl14,KIAA1644,0.01487674233683706,4.70044,1.0
i7_i31_CLMP_Ndnf_Cxcl14,FGF10,0.013822344865631763,2.807355,1.0
i7_i31_CLMP_Ndnf_Cxcl14,CLMP,0.011656102079935081,4.5849624,0.9854597131411236
i7_i31_CLMP_Ndnf_Cxcl14,PAX6,0.024323824375368494,6.3750396,0.960743800799052
i7_i31_CLMP_Ndnf_Cxcl14,SP8,0.01614003439070835,4.0,0.9485839565594992
i7_i31_CLMP_Ndnf_Cxcl14,CPLX3,0.009916117989036622,6.643856,0.9397939999898276
i7_i31_CLMP_Ndnf_Cxcl14,TGFBR2,0.02452619863485605,5.523562,0.9333333333333332
i7_i31_CLMP_Ndnf_Cxcl14,WIF1,0.025256070294856173,8.447083,0.924268877506256
i7_i31_CLMP_Ndnf_Cxcl14,ABCB5,0.013693794529180224,4.4594316,0.9149051189422608
